model_id,mimeType,tag_id,value,quality,timestamp
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16159,192,2021-03-18T17:34:20.631Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15838,192,2021-03-18T17:34:22.632Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16162,192,2021-03-18T17:34:22.632Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15840,192,2021-03-18T17:34:24.633Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16164,192,2021-03-18T17:34:24.633Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15843,192,2021-03-18T17:34:26.634Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16167,192,2021-03-18T17:34:26.634Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15846,192,2021-03-18T17:34:28.648Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16170,192,2021-03-18T17:34:28.648Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15848,192,2021-03-18T17:34:30.648Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16172,192,2021-03-18T17:34:30.648Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15851,192,2021-03-18T17:34:32.65Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16175,192,2021-03-18T17:34:32.65Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15853,192,2021-03-18T17:34:34.651Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16177,192,2021-03-18T17:34:34.651Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15856,192,2021-03-18T17:34:36.653Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16180,192,2021-03-18T17:34:36.653Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15859,192,2021-03-18T17:34:38.654Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16183,192,2021-03-18T17:34:38.654Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15861,192,2021-03-18T17:34:40.656Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16185,192,2021-03-18T17:34:40.656Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15864,192,2021-03-18T17:34:42.657Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16188,192,2021-03-18T17:34:42.657Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15866,192,2021-03-18T17:34:44.677Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16190,192,2021-03-18T17:34:44.677Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15869,192,2021-03-18T17:34:46.804Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16193,192,2021-03-18T17:34:46.804Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15872,192,2021-03-18T17:34:48.804Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16196,192,2021-03-18T17:34:48.804Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15875,192,2021-03-18T17:34:50.807Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16199,192,2021-03-18T17:34:50.807Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15876,192,2021-03-18T17:34:52.809Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16201,192,2021-03-18T17:34:52.809Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15879,192,2021-03-18T17:34:54.811Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16204,192,2021-03-18T17:34:54.811Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15881,192,2021-03-18T17:34:56.812Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16206,192,2021-03-18T17:34:56.812Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15884,192,2021-03-18T17:34:58.813Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16209,192,2021-03-18T17:34:58.813Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15887,192,2021-03-18T17:35:00.814Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16212,192,2021-03-18T17:35:00.814Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15889,192,2021-03-18T17:35:02.815Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16214,192,2021-03-18T17:35:02.815Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15892,192,2021-03-18T17:35:04.819Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16217,192,2021-03-18T17:35:04.819Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15894,192,2021-03-18T17:35:06.823Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16219,192,2021-03-18T17:35:06.823Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15897,192,2021-03-18T17:35:08.827Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16222,192,2021-03-18T17:35:08.827Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15900,192,2021-03-18T17:35:10.828Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16225,192,2021-03-18T17:35:10.828Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15902,192,2021-03-18T17:35:12.829Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16227,192,2021-03-18T17:35:12.829Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15905,192,2021-03-18T17:35:14.831Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16230,192,2021-03-18T17:35:14.831Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15908,192,2021-03-18T17:35:16.833Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16233,192,2021-03-18T17:35:16.833Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15910,192,2021-03-18T17:35:18.838Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16235,192,2021-03-18T17:35:18.838Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15913,192,2021-03-18T17:35:20.839Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16238,192,2021-03-18T17:35:20.839Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15915,192,2021-03-18T17:35:22.839Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16240,192,2021-03-18T17:35:22.839Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15918,192,2021-03-18T17:35:24.841Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16243,192,2021-03-18T17:35:24.841Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15921,192,2021-03-18T17:35:26.842Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16246,192,2021-03-18T17:35:26.842Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15923,192,2021-03-18T17:35:28.845Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16248,192,2021-03-18T17:35:28.845Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15925,192,2021-03-18T17:35:30.845Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16251,192,2021-03-18T17:35:30.845Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15927,192,2021-03-18T17:35:32.846Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16253,192,2021-03-18T17:35:32.846Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15930,192,2021-03-18T17:35:34.848Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16256,192,2021-03-18T17:35:34.848Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15933,192,2021-03-18T17:35:36.85Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16259,192,2021-03-18T17:35:36.85Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15935,192,2021-03-18T17:35:38.852Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16261,192,2021-03-18T17:35:38.852Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15938,192,2021-03-18T17:35:40.853Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16264,192,2021-03-18T17:35:40.853Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15941,192,2021-03-18T17:35:42.855Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16267,192,2021-03-18T17:35:42.855Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15943,192,2021-03-18T17:35:44.872Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16269,192,2021-03-18T17:35:44.872Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15946,192,2021-03-18T17:35:46.873Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16272,192,2021-03-18T17:35:46.873Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15948,192,2021-03-18T17:35:48.874Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16274,192,2021-03-18T17:35:48.874Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15951,192,2021-03-18T17:35:50.878Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16277,192,2021-03-18T17:35:50.878Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15954,192,2021-03-18T17:35:52.879Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16280,192,2021-03-18T17:35:52.879Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15956,192,2021-03-18T17:35:54.88Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16282,192,2021-03-18T17:35:54.88Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15959,192,2021-03-18T17:35:56.882Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16285,192,2021-03-18T17:35:56.882Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15961,192,2021-03-18T17:35:58.883Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16287,192,2021-03-18T17:35:58.883Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15964,192,2021-03-18T17:36:00.887Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16290,192,2021-03-18T17:36:00.887Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15967,192,2021-03-18T17:36:02.888Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16293,192,2021-03-18T17:36:02.888Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15969,192,2021-03-18T17:36:04.891Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16295,192,2021-03-18T17:36:04.891Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15972,192,2021-03-18T17:36:06.893Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16298,192,2021-03-18T17:36:06.893Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15974,192,2021-03-18T17:36:08.894Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16301,192,2021-03-18T17:36:08.894Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15976,192,2021-03-18T17:36:10.896Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16303,192,2021-03-18T17:36:10.896Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15979,192,2021-03-18T17:36:12.898Z
iot-model.OEE-ts-data.OEE_Data.TotalCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.TotalCount,16306,192,2021-03-18T17:36:12.898Z
iot-model.OEE-ts-data.OEE_Data.GoodCount,x-ra/cip/real,ra-ftld://driver-ftld/RNA://$Global/FTEG::[ftegem]OEE_Data.GoodCount,15981,192,2021-03-18T17:36:14.901Z
